,pkgs,customers,percent
0,com.google.android.googlequicksearchbox,19108.0,0.95
1,com.facebook.katana,15727.0,0.78
2,com.whatsapp,19479.0,0.97
3,com.google.android.youtube,14326.0,0.71
4,com.google.android.apps.photos,9384.0,0.47
5,com.facebook.orca,3276.0,0.16
6,com.instagram.android,8341.0,0.42
7,com.android.chrome,15065.0,0.75
8,com.android.dialer,14420.0,0.72
9,com.android.settings,2565.0,0.13
10,com.motorola.cameraone,3381.0,0.17
11,com.google.android.music,2006.0,0.1
12,com.google.android.deskclock,2647.0,0.13
13,com.netflix.mediaclient,2417.0,0.12
